y_m,c_m,alpha_deg,beta_deg,mach_nd,cn_sec_nd,cm_sec_nd,cc_sec_nd
2.0,3.5,-6.0,-10.0,0.3,-0.09,-0.005,0.0
2.0,3.5,-6.0,-10.0,0.5,-0.09,-0.005,0.0
2.0,3.5,-6.0,-10.0,0.65,-0.09,-0.005,0.0
2.0,3.5,-6.0,-10.0,0.72,-0.09,-0.005,0.0
2.0,3.5,-6.0,-10.0,0.8,-0.09,-0.005,0.0
2.0,3.5,-6.0,-5.0,0.3,-0.09,-0.005,0.0
2.0,3.5,-6.0,-5.0,0.5,-0.09,-0.005,0.0
2.0,3.5,-6.0,-5.0,0.65,-0.09,-0.005,0.0
2.0,3.5,-6.0,-5.0,0.72,-0.09,-0.005,0.0
2.0,3.5,-6.0,-5.0,0.8,-0.09,-0.005,0.0
2.0,3.5,-6.0,0.0,0.3,-0.09,-0.005,0.0
2.0,3.5,-6.0,0.0,0.5,-0.09,-0.005,0.0
2.0,3.5,-6.0,0.0,0.65,-0.09,-0.005,0.0
2.0,3.5,-6.0,0.0,0.72,-0.09,-0.005,0.0
2.0,3.5,-6.0,0.0,0.8,-0.09,-0.005,0.0
2.0,3.5,-6.0,5.0,0.3,-0.09,-0.005,0.0
2.0,3.5,-6.0,5.0,0.5,-0.09,-0.005,0.0
2.0,3.5,-6.0,5.0,0.65,-0.09,-0.005,0.0
2.0,3.5,-6.0,5.0,0.72,-0.09,-0.005,0.0
2.0,3.5,-6.0,5.0,0.8,-0.09,-0.005,0.0
2.0,3.5,-6.0,10.0,0.3,-0.09,-0.005,0.0
2.0,3.5,-6.0,10.0,0.5,-0.09,-0.005,0.0
2.0,3.5,-6.0,10.0,0.65,-0.09,-0.005,0.0
2.0,3.5,-6.0,10.0,0.72,-0.09,-0.005,0.0
2.0,3.5,-6.0,10.0,0.8,-0.09,-0.005,0.0
2.0,3.5,-3.0,-10.0,0.3,-0.045,-0.005,0.0
2.0,3.5,-3.0,-10.0,0.5,-0.045,-0.005,0.0
2.0,3.5,-3.0,-10.0,0.65,-0.045,-0.005,0.0
2.0,3.5,-3.0,-10.0,0.72,-0.045,-0.005,0.0
2.0,3.5,-3.0,-10.0,0.8,-0.045,-0.005,0.0
2.0,3.5,-3.0,-5.0,0.3,-0.045,-0.005,0.0
2.0,3.5,-3.0,-5.0,0.5,-0.045,-0.005,0.0
2.0,3.5,-3.0,-5.0,0.65,-0.045,-0.005,0.0
2.0,3.5,-3.0,-5.0,0.72,-0.045,-0.005,0.0
2.0,3.5,-3.0,-5.0,0.8,-0.045,-0.005,0.0
2.0,3.5,-3.0,0.0,0.3,-0.045,-0.005,0.0
2.0,3.5,-3.0,0.0,0.5,-0.045,-0.005,0.0
2.0,3.5,-3.0,0.0,0.65,-0.045,-0.005,0.0
2.0,3.5,-3.0,0.0,0.72,-0.045,-0.005,0.0
2.0,3.5,-3.0,0.0,0.8,-0.045,-0.005,0.0
2.0,3.5,-3.0,5.0,0.3,-0.045,-0.005,0.0
2.0,3.5,-3.0,5.0,0.5,-0.045,-0.005,0.0
2.0,3.5,-3.0,5.0,0.65,-0.045,-0.005,0.0
2.0,3.5,-3.0,5.0,0.72,-0.045,-0.005,0.0
2.0,3.5,-3.0,5.0,0.8,-0.045,-0.005,0.0
2.0,3.5,-3.0,10.0,0.3,-0.045,-0.005,0.0
2.0,3.5,-3.0,10.0,0.5,-0.045,-0.005,0.0
2.0,3.5,-3.0,10.0,0.65,-0.045,-0.005,0.0
2.0,3.5,-3.0,10.0,0.72,-0.045,-0.005,0.0
2.0,3.5,-3.0,10.0,0.8,-0.045,-0.005,0.0
2.0,3.5,0.0,-10.0,0.3,0.0,-0.005,0.0
2.0,3.5,0.0,-10.0,0.5,0.0,-0.005,0.0
