y_m,c_m,alpha_deg,beta_deg,mach_nd,cn_sec_nd,cm_sec_nd,cc_sec_nd
-5.45,1.2,-6.0,-10.0,0.3,-0.507894,0.025159,0.047089
-5.45,1.2,-6.0,-10.0,0.5,-0.559452,0.027713,0.052479
-5.45,1.2,-6.0,-10.0,0.65,-0.637555,0.031582,0.060643
-5.45,1.2,-6.0,-10.0,0.72,-0.698153,0.034583,0.066977
-5.45,1.2,-6.0,-10.0,0.8,-0.8075,0.04,0.078407
-5.45,1.2,-6.0,-5.0,0.3,-0.507894,0.025159,0.047089
-5.45,1.2,-6.0,-5.0,0.5,-0.559452,0.027713,0.052479
-5.45,1.2,-6.0,-5.0,0.65,-0.637555,0.031582,0.060643
-5.45,1.2,-6.0,-5.0,0.72,-0.698153,0.034583,0.066977
-5.45,1.2,-6.0,-5.0,0.8,-0.8075,0.04,0.078407
-5.45,1.2,-6.0,0.0,0.3,-0.507894,0.025159,0.047089
-5.45,1.2,-6.0,0.0,0.5,-0.559452,0.027713,0.052479
-5.45,1.2,-6.0,0.0,0.65,-0.637555,0.031582,0.060643
-5.45,1.2,-6.0,0.0,0.72,-0.698153,0.034583,0.066977
-5.45,1.2,-6.0,0.0,0.8,-0.8075,0.04,0.078407
-5.45,1.2,-6.0,5.0,0.3,-0.507894,0.025159,0.047089
-5.45,1.2,-6.0,5.0,0.5,-0.559452,0.027713,0.052479
-5.45,1.2,-6.0,5.0,0.65,-0.637555,0.031582,0.060643
-5.45,1.2,-6.0,5.0,0.72,-0.698153,0.034583,0.066977
-5.45,1.2,-6.0,5.0,0.8,-0.8075,0.04,0.078407
-5.45,1.2,-6.0,10.0,0.3,-0.507894,0.025159,0.047089
-5.45,1.2,-6.0,10.0,0.5,-0.559452,0.027713,0.052479
-5.45,1.2,-6.0,10.0,0.65,-0.637555,0.031582,0.060643
-5.45,1.2,-6.0,10.0,0.72,-0.698153,0.034583,0.066977
-5.45,1.2,-6.0,10.0,0.8,-0.8075,0.04,0.078407
-5.45,1.2,-3.0,-10.0,0.3,-0.253947,0.012579,0.007291
-5.45,1.2,-3.0,-10.0,0.5,-0.279726,0.013856,0.00864
-5.45,1.2,-3.0,-10.0,0.65,-0.318778,0.015791,0.010684
-5.45,1.2,-3.0,-10.0,0.72,-0.349076,0.017292,0.012269
-5.45,1.2,-3.0,-10.0,0.8,-0.40375,0.02,0.015131
-5.45,1.2,-3.0,-5.0,0.3,-0.253947,0.012579,0.007291
-5.45,1.2,-3.0,-5.0,0.5,-0.279726,0.013856,0.00864
-5.45,1.2,-3.0,-5.0,0.65,-0.318778,0.015791,0.010684
-5.45,1.2,-3.0,-5.0,0.72,-0.349076,0.017292,0.012269
-5.45,1.2,-3.0,-5.0,0.8,-0.40375,0.02,0.015131
-5.45,1.2,-3.0,0.0,0.3,-0.253947,0.012579,0.007291
-5.45,1.2,-3.0,0.0,0.5,-0.279726,0.013856,0.00864
-5.45,1.2,-3.0,0.0,0.65,-0.318778,0.015791,0.010684
-5.45,1.2,-3.0,0.0,0.72,-0.349076,0.017292,0.012269
-5.45,1.2,-3.0,0.0,0.8,-0.40375,0.02,0.015131
-5.45,1.2,-3.0,5.0,0.3,-0.253947,0.012579,0.007291
-5.45,1.2,-3.0,5.0,0.5,-0.279726,0.013856,0.00864
-5.45,1.2,-3.0,5.0,0.65,-0.318778,0.015791,0.010684
-5.45,1.2,-3.0,5.0,0.72,-0.349076,0.017292,0.012269
-5.45,1.2,-3.0,5.0,0.8,-0.40375,0.02,0.015131
-5.45,1.2,-3.0,10.0,0.3,-0.253947,0.012579,0.007291
-5.45,1.2,-3.0,10.0,0.5,-0.279726,0.013856,0.00864
-5.45,1.2,-3.0,10.0,0.65,-0.318778,0.015791,0.010684
-5.45,1.2,-3.0,10.0,0.72,-0.349076,0.017292,0.012269
-5.45,1.2,-3.0,10.0,0.8,-0.40375,0.02,0.015131
-5.45,1.2,0.0,-10.0,0.3,0.0,-0.0,-0.006
-5.45,1.2,0.0,-10.0,0.5,0.0,-0.0,-0.006
-5.45,1.2,0.0,-10.0,0.65,0.0,-0.0,-0.006
-5.45,1.2,0.0,-10.0,0.72,0.0,-0.0,-0.006
-5.45,1.2,0.0,-10.0,0.8,0.0,-0.0,-0.006
-5.45,1.2,0.0,-5.0,0.3,0.0,-0.0,-0.006
-5.45,1.2,0.0,-5.0,0.5,0.0,-0.0,-0.006
