y_m,c_m,alpha_deg,beta_deg,mach_nd,cn_sec_nd,cm_sec_nd,cc_sec_nd
-13.17,1.5,-6.0,-10.0,0.3,-0.356417,-0.031131,0.029256
-13.17,1.5,-6.0,-10.0,0.5,-0.392598,-0.029215,0.033038
-13.17,1.5,-6.0,-10.0,0.65,-0.447407,-0.026314,0.038767
-13.17,1.5,-6.0,-10.0,0.72,-0.489932,-0.024062,0.043212
-13.17,1.5,-6.0,-10.0,0.8,-0.566667,-0.02,0.051233
-13.17,1.5,-6.0,-5.0,0.3,-0.356417,-0.031131,0.029256
-13.17,1.5,-6.0,-5.0,0.5,-0.392598,-0.029215,0.033038
-13.17,1.5,-6.0,-5.0,0.65,-0.447407,-0.026314,0.038767
-13.17,1.5,-6.0,-5.0,0.72,-0.489932,-0.024062,0.043212
-13.17,1.5,-6.0,-5.0,0.8,-0.566667,-0.02,0.051233
-13.17,1.5,-6.0,0.0,0.3,-0.356417,-0.031131,0.029256
-13.17,1.5,-6.0,0.0,0.5,-0.392598,-0.029215,0.033038
-13.17,1.5,-6.0,0.0,0.65,-0.447407,-0.026314,0.038767
-13.17,1.5,-6.0,0.0,0.72,-0.489932,-0.024062,0.043212
-13.17,1.5,-6.0,0.0,0.8,-0.566667,-0.02,0.051233
-13.17,1.5,-6.0,5.0,0.3,-0.356417,-0.031131,0.029256
-13.17,1.5,-6.0,5.0,0.5,-0.392598,-0.029215,0.033038
-13.17,1.5,-6.0,5.0,0.65,-0.447407,-0.026314,0.038767
-13.17,1.5,-6.0,5.0,0.72,-0.489932,-0.024062,0.043212
-13.17,1.5,-6.0,5.0,0.8,-0.566667,-0.02,0.051233
-13.17,1.5,-6.0,10.0,0.3,-0.356417,-0.031131,0.029256
-13.17,1.5,-6.0,10.0,0.5,-0.392598,-0.029215,0.033038
-13.17,1.5,-6.0,10.0,0.65,-0.447407,-0.026314,0.038767
-13.17,1.5,-6.0,10.0,0.72,-0.489932,-0.024062,0.043212
-13.17,1.5,-6.0,10.0,0.8,-0.566667,-0.02,0.051233
-13.17,1.5,-3.0,-10.0,0.3,-0.089104,-0.040565,-0.003337
-13.17,1.5,-3.0,-10.0,0.5,-0.09815,-0.039608,-0.002863
-13.17,1.5,-3.0,-10.0,0.65,-0.111852,-0.038157,-0.002146
-13.17,1.5,-3.0,-10.0,0.72,-0.122483,-0.037031,-0.00159
-13.17,1.5,-3.0,-10.0,0.8,-0.141667,-0.035,-0.000586
-13.17,1.5,-3.0,-5.0,0.3,-0.089104,-0.040565,-0.003337
-13.17,1.5,-3.0,-5.0,0.5,-0.09815,-0.039608,-0.002863
-13.17,1.5,-3.0,-5.0,0.65,-0.111852,-0.038157,-0.002146
-13.17,1.5,-3.0,-5.0,0.72,-0.122483,-0.037031,-0.00159
-13.17,1.5,-3.0,-5.0,0.8,-0.141667,-0.035,-0.000586
-13.17,1.5,-3.0,0.0,0.3,-0.089104,-0.040565,-0.003337
-13.17,1.5,-3.0,0.0,0.5,-0.09815,-0.039608,-0.002863
-13.17,1.5,-3.0,0.0,0.65,-0.111852,-0.038157,-0.002146
-13.17,1.5,-3.0,0.0,0.72,-0.122483,-0.037031,-0.00159
-13.17,1.5,-3.0,0.0,0.8,-0.141667,-0.035,-0.000586
-13.17,1.5,-3.0,5.0,0.3,-0.089104,-0.040565,-0.003337
-13.17,1.5,-3.0,5.0,0.5,-0.09815,-0.039608,-0.002863
-13.17,1.5,-3.0,5.0,0.65,-0.111852,-0.038157,-0.002146
-13.17,1.5,-3.0,5.0,0.72,-0.122483,-0.037031,-0.00159
-13.17,1.5,-3.0,5.0,0.8,-0.141667,-0.035,-0.000586
-13.17,1.5,-3.0,10.0,0.3,-0.089104,-0.040565,-0.003337
-13.17,1.5,-3.0,10.0,0.5,-0.09815,-0.039608,-0.002863
-13.17,1.5,-3.0,10.0,0.65,-0.111852,-0.038157,-0.002146
-13.17,1.5,-3.0,10.0,0.72,-0.122483,-0.037031,-0.00159
-13.17,1.5,-3.0,10.0,0.8,-0.141667,-0.035,-0.000586
-13.17,1.5,0.0,-10.0,0.3,0.178208,-0.05,-0.008
-13.17,1.5,0.0,-10.0,0.5,0.196299,-0.05,-0.008
-13.17,1.5,0.0,-10.0,0.65,0.223704,-0.05,-0.008
-13.17,1.5,0.0,-10.0,0.72,0.244966,-0.05,-0.008
-13.17,1.5,0.0,-10.0,0.8,0.283333,-0.05,-0.008
-13.17,1.5,0.0,-5.0,0.3,0.178208,-0.05,-0.008
-13.17,1.5,0.0,-5.0,0.5,0.196299,-0.05,-0.008
-13.17,1.5,0.0,-5.0,0.65,0.223704,-0.05,-0.008
-13.17,1.5,0.0,-5.0,0.72,0.244966,-0.05,-0.008
-13.17,1.5,0.0,-5.0,0.8,0.283333,-0.05,-0.008
-13.17,1.5,0.0,0.0,0.3,0.178208,-0.05,-0.008
-13.17,1.5,0.0,0.0,0.5,0.196299,-0.05,-0.008
-13.17,1.5,0.0,0.0,0.65,0.223704,-0.05,-0.008
-13.17,1.5,0.0,0.0,0.72,0.244966,-0.05,-0.008
-13.17,1.5,0.0,0.0,0.8,0.283333,-0.05,-0.008
-13.17,1.5,0.0,5.0,0.3,0.178208,-0.05,-0.008
-13.17,1.5,0.0,5.0,0.5,0.196299,-0.05,-0.008
-13.17,1.5,0.0,5.0,0.65,0.223704,-0.05,-0.008
-13.17,1.5,0.0,5.0,0.72,0.244966,-0.05,-0.008
-13.17,1.5,0.0,5.0,0.8,0.283333,-0.05,-0.008
-13.17,1.5,0.0,10.0,0.3,0.178208,-0.05,-0.008
-13.17,1.5,0.0,10.0,0.5,0.196299,-0.05,-0.008
-13.17,1.5,0.0,10.0,0.65,0.223704,-0.05,-0.008
-13.17,1.5,0.0,10.0,0.72,0.244966,-0.05,-0.008
-13.17,1.5,0.0,10.0,0.8,0.283333,-0.05,-0.008
-13.17,1.5,3.0,-10.0,0.3,0.445521,-0.059435,0.015317
-13.17,1.5,3.0,-10.0,0.5,0.490748,-0.060392,0.017684
-13.17,1.5,3.0,-10.0,0.65,0.559259,-0.061843,0.021269
-13.17,1.5,3.0,-10.0,0.72,0.612415,-0.062969,0.024051
-13.17,1.5,3.0,-10.0,0.8,0.708333,-0.065,0.029071
-13.17,1.5,3.0,-5.0,0.3,0.445521,-0.059435,0.015317
-13.17,1.5,3.0,-5.0,0.5,0.490748,-0.060392,0.017684
-13.17,1.5,3.0,-5.0,0.65,0.559259,-0.061843,0.021269
-13.17,1.5,3.0,-5.0,0.72,0.612415,-0.062969,0.024051
-13.17,1.5,3.0,-5.0,0.8,0.708333,-0.065,0.029071
-13.17,1.5,3.0,0.0,0.3,0.445521,-0.059435,0.015317
-13.17,1.5,3.0,0.0,0.5,0.490748,-0.060392,0.017684
-13.17,1.5,3.0,0.0,0.65,0.559259,-0.061843,0.021269
-13.17,1.5,3.0,0.0,0.72,0.612415,-0.062969,0.024051
-13.17,1.5,3.0,0.0,0.8,0.708333,-0.065,0.029071
-13.17,1.5,3.0,5.0,0.3,0.445521,-0.059435,0.015317
-13.17,1.5,3.0,5.0,0.5,0.490748,-0.060392,0.017684
-13.17,1.5,3.0,5.0,0.65,0.559259,-0.061843,0.021269
-13.17,1.5,3.0,5.0,0.72,0.612415,-0.062969,0.024051
-13.17,1.5,3.0,5.0,0.8,0.708333,-0.065,0.029071
-13.17,1.5,3.0,10.0,0.3,0.445521,-0.059435,0.015317
-13.17,1.5,3.0,10.0,0.5,0.490748,-0.060392,0.017684
-13.17,1.5,3.0,10.0,0.65,0.559259,-0.061843,0.021269
-13.17,1.5,3.0,10.0,0.72,0.612415,-0.062969,0.024051
-13.17,1.5,3.0,10.0,0.8,0.708333,-0.065,0.029071
-13.17,1.5,6.0,-10.0,0.3,0.712834,-0.068869,0.066511
-13.17,1.5,6.0,-10.0,0.5,0.785196,-0.070785,0.074075
-13.17,1.5,6.0,-10.0,0.65,0.894814,-0.073686,0.085534
-13.17,1.5,6.0,-10.0,0.72,0.979864,-0.075938,0.094424
-13.17,1.5,6.0,-10.0,0.8,1.133333,-0.08,0.110466
-13.17,1.5,6.0,-5.0,0.3,0.712834,-0.068869,0.066511
-13.17,1.5,6.0,-5.0,0.5,0.785196,-0.070785,0.074075
-13.17,1.5,6.0,-5.0,0.65,0.894814,-0.073686,0.085534
-13.17,1.5,6.0,-5.0,0.72,0.979864,-0.075938,0.094424
-13.17,1.5,6.0,-5.0,0.8,1.133333,-0.08,0.110466
-13.17,1.5,6.0,0.0,0.3,0.712834,-0.068869,0.066511
-13.17,1.5,6.0,0.0,0.5,0.785196,-0.070785,0.074075
-13.17,1.5,6.0,0.0,0.65,0.894814,-0.073686,0.085534
-13.17,1.5,6.0,0.0,0.72,0.979864,-0.075938,0.094424
